filename,title,date,google_drive_link,folder,file_type,page_count,module,document_type,people_mentioned,tags,has_exemption,has_exclusion,password_protected,processed
~$A-CBER-2021-5683-1712392-1712421_27034_S17_M1_hcp-fact-1450-0-5-pi-lab-1457-0-5-clean.docx,HCP Fact Sheet,2021,https://docs.google.com/document/d/1JPXuTnyUxPoDZkEoY3WSLgGLb5Q7v8eP/edit?usp=drivesdk&ouid=106698971417007077985&rtpof=true&sd=true,eua-051925,DOCX,0,M1,fact sheet,,"CBER, Pharmaceutical, Product Labeling, M1, Dosing, Safety, Administration, Medical Information, Regulatory, Clinical Data, Healthcare Provider, Hcp, Product Information, Efficacy",False,False,False,True
19736_S105_M4_berger-rentsch-m-2011.pdf,Berger-Rentsch M. 2011,2011,https://drive.google.com/file/d/1iOVs-v8Sa1q44YeINg0NX8nu8rFN-gBQ/view?usp=drivesdk,eua-051925,PDF,8,M4,report,"Berger, Rentsch","Pharmaceutical, FDA, M4, Risk Management, Safety Analysis, Quality Control, Drug Development, Regulatory Compliance, Product Lifecycle, Adverse Events, Data Analysis, Clinical Trial, Scientific Research, Efficacy",False,False,False,True
19736_S105_M4_dewit-e-2016.pdf,Emergence of Coronaviruses in the 21st Century,2016,https://drive.google.com/file/d/1N-OXtnj4HOHJ4r3_LFNVsoH4vknsQb9F/view?usp=drivesdk,eua-051925,PDF,12,M4,report,"de Wit, SARS-CoV, MERS-CoV","M4, Global Health, Medical Research, Respiratory Disease, Public Health, Coronavirus, Mers, Emerging Infectious Diseases, Viral Outbreaks, Infection Control, Zoonotic Transmission, Epidemiology, Sars, Pandemic",False,False,False,True
19736_S105_M4_brouwer-pjm-2020.pdf,19736 S105 M4 brouwer-pjm-2020,undated,https://drive.google.com/file/d/1XIhlO7UfDusoohaFpe4hmk3k8dAjOTlQ/view?usp=drivesdk,eua-051925,PDF,8,M4,document,,"Review-needed, Clinical, M4, Vaccine, 2020, COVID-19, Research",False,False,False,True
19736_S105_M4_boone-l-2005.pdf,Boone L. 2005 Regulatory Submission,2005,https://drive.google.com/file/d/1xKskqYcj3ky8xNmPiFEWqwpzCH9Z2H-7/view?usp=drivesdk,eua-051925,PDF,7,M4,regulatory submission,Boone L.,"CBER, FDA, Pharmaceutical, M4, Submission, Quality Control, Drug Development, Needs-review, Regulatory, 2005, Clinical Trial, Product Information, Safety Data, Efficacy Data",False,False,False,True
19736_S105_M4_brooks-mb-2017.pdf,19736 S105 M4 brooks-mb-2017,undated,https://drive.google.com/file/d/1DKeoABs0VaTJBROiucb-0nBJgnyujEke/view?usp=drivesdk,eua-051925,PDF,23,M4,document,,"FDA, Review-needed, M4, Study, Data, Research",False,False,False,True
19736_S105_M4_al-amri-ss-2017.pdf,Regulatory Submission for COVID-19 Vaccine,2020-04-13,https://drive.google.com/file/d/1gnI0JgQUzRWaRYsrKQNFrym0_WTzqmc_/view?usp=drivesdk,eua-051925,PDF,8,M4,report,al-amri-ss,"CBER, FDA, M4, Pandemic Response, Submission, Vaccine, Safety, Public Health, Authorization, COVID-19, Regulatory, Clinical Trial, Immunogenicity, Efficacy",False,False,False,True
19736_S105_M4_cai-y-2020.pdf,COVID-19 Vaccine Candidate Development and Evaluation,2020-08-17,https://drive.google.com/file/d/1hj9RGfKHnTRy2TWw6m1RQgP3f8okIoku/view?usp=drivesdk,eua-051925,PDF,12,M4,report,"Cai, Y.","CBER, FDA, M4, SARS-COV-2, Pandemic Response, Biomedical Research, Safety, Public Health, Clinical Trials, COVID-19, Vaccine Development, Immunogenicity, Regulatory Approval, Efficacy",False,False,False,True
19736_S105_M4_baum-a-2020.pdf,A promising approach to combat the COVID-19 pandemic,2020-06-15,https://drive.google.com/file/d/1A9gw1aLJClS00qjfXHIeRP72G63dKVYs/view?usp=drivesdk,eua-051925,PDF,7,M4,report,A. Baum,"M4, SARS-COV-2, Neutralizing Antibodies, Virus Escape Mutants, Selective Pressure, Antiviral Therapy, COVID-19, Combination Therapy, Drug Resistance, Genetically-humanized Mice, Antibody Cocktail, Convalescent Humans, RBD, Spike Protein",False,False,False,True
19736_S105_M4_engelmann-b-2013.pdf,Thrombosis: Pathological Deviation of Haemostasis,2013,https://drive.google.com/file/d/19H48SzcynRntJ2ih0VILm-LSYKrovte3/view?usp=drivesdk,eua-051925,PDF,12,M4,report,Engelmann,"Arterial Thrombosis, M4, Myocardial Infarction, Physiological Haemostasis, Stroke, Deep Vein Thrombosis, Thrombosis, Haemostasis, Blood Coagulation, Venous Thrombosis, Antithrombotic Approaches, Pulmonary Embolism, Cardiovascular Disease, Platelet Activation",False,False,False,True
19736_S105_M4_hassett-kj-2019.pdf,19736 S105 M4 hassett-kj-2019,undated,https://drive.google.com/file/d/1K_tqwwIMgoChuRYYaWhBQjxj2fNwcCXO/view?usp=drivesdk,eua-051925,PDF,11,M4,document,,"Review-needed, Clinical, M4, Vaccine, Trial",False,False,False,True
19736_S105_M4_ennulat-d-2010.pdf,Diagnostic Performance of Traditional Hepatobiliary Biomarkers of Drug-Induced Liver Injury in the Rat,2010,https://drive.google.com/file/d/1SbpPal6sfuepdnvNj5lq_N84BkoU4F-1/view?usp=drivesdk,eua-051925,PDF,16,M4,research paper,"Daniela Ennulat, Michal Magid-Slav, Sabine Rehm, Kay S. Tatsuoka","M4, Biomarkers, Alkaline Phosphatase, Bile Acids, Alanine Aminotransferase, Hepatobiliary, Diagnostic Performance, Bilirubin, Gamma Glutamyl Transferase, Liver Injury, Toxicology, Rats, Aspartate Aminotransferase, Drug Safety",False,False,False,True
19736_S105_M4_henderson-r-2020.pdf,SARS-CoV-2 Spike Protein Structure and Function,2020,https://drive.google.com/file/d/1i36n0173e_7B1bqPITQnc-rbEi0MXFKV/view?usp=drivesdk,eua-051925,PDF,22,M4,article,"Rory Henderson, Priyamvada Acharya","M4, SARS-COV-2, Receptor Binding Domain, Structural Biology, Viral Fusion, Duke University, Pandemic Response, Molecular Biology, Coronavirus, NIEHS, COVID-19, Vaccine Development, Structural Dynamics, Spike Protein",False,False,False,True
19736_S105_M4_hulswit-rj-2016.pdf,Coronavirus Spike Protein and Tropism Changes,2016,https://drive.google.com/file/d/1QSIMz0Uur2-MxzV9c2ns1Fml7QOiInFF/view?usp=drivesdk,eua-051925,PDF,29,M4,chapter,"R.J.G. Hulswit, C.A.M. de Haan, B.-J. Bosch","M4, Membrane Fusion, Structural Biology, Host Range, Coronavirus, Mers, Tropism, Viral Entry, Evolutionary Adaptation, Zoonotic Transmission, Sars, Spike Protein, Receptor Binding, Molecular Virology",False,False,False,True
19736_S105_M4_hoffmann-m-2020.pdf,19736 S105 M4 hoffmann-m-2020,undated,https://drive.google.com/file/d/1GYilEth0WnupAex4xwNNaWnOIFNPLy6b/view?usp=drivesdk,eua-051925,PDF,18,M4,document,,"FDA, Clinical, Review-needed, M4, Vaccine, 2020, COVID-19, Research",False,False,False,True
19736_S105_M4_hutloff-a-2015.pdf,Regulation of T follicular helper cells by ICOS,2015,https://drive.google.com/file/d/17UPRHztTRUXQnASKo2_RhgAZmbEj4QQx/view?usp=drivesdk,eua-051925,PDF,2,M4,research,Andreas Hutloff,"Immune Response, Sphingosine Phosphate Receptor, M4, Akt, Autoimmune Disorders, B Cells, Cell Homing, Klf, T Follicular Helper Cells, Immunology, Signaling Pathway, ICOS, Foxo, Chemokine Receptors",False,False,False,True
19736_S105_M4_ivens-ia-2015.pdf,19736 S105 M4 ivens-ia-2015,undated,https://drive.google.com/file/d/1z1xRQtC0DM4OKXnJTODePTSMqmsr7D-e/view?usp=drivesdk,eua-051925,PDF,25,M4,document,,"FDA, Clinical, Review-needed, M4, Study, Data, Research",False,False,False,True
19736_S105_M4_jiang-s-2020.pdf,Neutralizing Antibodies against SARS-CoV-2 and Other Human Coronaviruses,2020,https://drive.google.com/file/d/1PtkIJopPJI76itYFpXUzaF2wSgAzTVau/view?usp=drivesdk,eua-051925,PDF,5,M4,report,"Shibo Jiang, Christopher Hillyer, Lanying Du","SARS-COV, M4, SARS-COV-2, MERS-COV, Neutralizing Antibodies, Global Health, Treatment Development, Public Health, Virus Research, Coronavirus, COVID-19, Prevention, Zoonotic Transmission, Pandemic",False,False,False,True
19736_S105_M4_kariko-k-2005.pdf,Kariko K. 2005 Presentation,2005,https://drive.google.com/file/d/1RyJVBHUBqmMpQgIScBG7CZ9qe3U4tSZy/view?usp=drivesdk,eua-051925,PDF,11,M4,presentation,"Kariko, K.","Nucleic Acid, M4, Molecular Biology, Medical Technology, RNA, Biotechnology, Pharmaceutical Development, mRNA, Academic Presentation, Immunotherapy, Vaccine Development, Scientific Research, Therapeutic Applications, Drug Delivery, Gene Expression",False,False,False,True
19736_S105_M4_kaushal-d-2015.pdf,19736 S105 M4 kaushal-d-2015,undated,https://drive.google.com/file/d/1SGrcgMl8QZ6ffsox_eCjV8l0FC4tW3L-/view?usp=drivesdk,eua-051925,PDF,14,M4,document,,"FDA, Clinical, Review-needed, M4, Vaccine, Research",False,False,False,True
19736_S105_M4_ke-z-2020.pdf,19736 S105 M4 ke-z-2020,undated,https://drive.google.com/file/d/170ijipuKjwfWfI7nIybTJLeCRVgZ7dIW/view?usp=drivesdk,eua-051925,PDF,22,M4,document,,"M4, FDA, Review-needed, 2020, COVID-19",False,False,False,True
19736_S105_M4_kim-a-2014.pdf,"Red Cells, Iron, and Erythropoiesis",2014,https://drive.google.com/file/d/1joloQB8MX1tYccy4zTWDXkxTFmibG2oo/view?usp=drivesdk,eua-051925,PDF,8,M4,paper,"Airie Kim, Eileen Fung, Sona G. Parikh, Erika V. Valore, Victoria Gabayan, Elizabeta Nemeth, Tomas Ganz","M4, Hypoferremia, Mouse Model, Medical Research, Anemia, Brucella Abortus, Hemoglobin, Erythropoiesis, Iron Metabolism, Hepcidin, Erythrocyte Lifespan, Inflammation, Schistocytes, Red Blood Cells",False,False,False,True
19736_S105_M4_kim-a-2016.pdf,Isocitrate treatment of acute anemia of inflammation in a mouse model,2016,https://drive.google.com/file/d/1h3SBVW2iKqxud66V3jvpzW6xkJTG-hZU/view?usp=drivesdk,eua-051925,PDF,6,M4,research article,"Airie Kim, Eileen Fung, Sona G. Parikh, Victoria Gabayan, Elizabeta Nemeth, Tomas Ganz","M4, Mouse Model, Acute Anemia, Isocitrate, Anemia, Brucella Abortus, Hemoglobin, Erythropoiesis, Hepcidin, Erythropoietin, Inflammation, Reticulocytes, Iron, Severe Anemia",False,False,False,True
19736_S105_M4_kim-jy-2020.pdf,Nonclinical Study Report,2020-08-17,https://drive.google.com/file/d/1bet2UpQfI1k4ZyQ-abjmUlw3JT76ese4/view?usp=drivesdk,eua-051925,PDF,7,M4,report,"Kim, Jy","CBER, FDA, Pharmaceutical, August 2020, M4, Study, Nonclinical, Safety, Drug Development, Final Report, Regulatory, Biotech, Toxicology, Preclinical",False,False,False,True
19736_S105_M4_liu-l-2020.pdf,19736 S105 M4 liu-l-2020,undated,https://drive.google.com/file/d/1_dFCUTrsJ5B4pl9cYTQaEOfz9afw9s1y/view?usp=drivesdk,eua-051925,PDF,26,M4,document,,"Review-needed, Clinical, M4, Vaccine, Study, 2020, COVID-19, Trial, Research",False,False,False,True
19736_S105_M4_middleton-ea-2016.pdf,Platelets in Pulmonary Immune Responses and Inflammatory Lung Diseases,2016-08-03,https://drive.google.com/file/d/1v3ONwano7G4CfAfVdDY8EQyLOkKd1-zQ/view?usp=drivesdk,eua-051925,PDF,49,M4,research paper,"Elizabeth A. Middleton, Andrew S. Weyrich, Guy A. Zimmerman","M4, Immune System, Critical Care, Pulmonary Immunity, Hemostasis, Thrombosis, Platelets, Respiratory System, Adaptive Immunity, Lung Inflammation, Innate Immunity, Inflammatory Diseases, Molecular Medicine, Physiology",False,False,False,True
19736_S105_M4_page-mj-2002.pdf,A Champion of Host Defense: A Generic Large-Scale Cause for Platelet Dysfunction and Depletion in Infection,2020,https://drive.google.com/file/d/1bWRhmrc_WI_4rriiqbAxHx_DV1MOrpbG/view?usp=drivesdk,eua-051925,PDF,18,M4,research paper,"Martin J. Page, Etheresia Pretorius","Immune Response, Host Defense, M4, Bacteria, Damage-associated Molecular Patterns, Thrombocytopenia, Hemostasis, Cell-cell Interaction, Stellenbosch University, Physiological Sciences, Platelets, Infection, Pathogen-associated Molecular Patterns, Virus, Inflammation",False,False,False,True
19736_S105_M4_muruato-ae-2020.pdf,A high-throughput neutralizing antibody assay for COVID-19 diagnosis and vaccine evaluation,2020,https://drive.google.com/file/d/1RLC-EhDeGmQFzijCFtP67xnXVMiZwICs/view?usp=drivesdk,eua-051925,PDF,6,M4,article,"Antonio E. Muruato, Camila R. Fontes-Garfias, Ping Ren, Mariano A. Garcia-Blanco, Vineet D. Menachery, Xuping Xie, Pei-Yong Shi","Assay, Fluorescence-based, Reopening Communities, M4, Antibody Efficacy, COVID-19, Evaluation, Plaque Reduction Neutralizing Assay, Virus Neutralization, Convalescent Plasma Therapy, High-throughput, Rapid Platform, Gold Standard, SARS-COV-2, Vaccine, Serodiagnosis, Neutralizing Antibody, Diagnosis, Antibody Protection",False,False,False,True
19736_S105_M4_pallesen-j-2017.pdf,19736 S105 M4 pallesen-j-2017,undated,https://drive.google.com/file/d/1bAXiBcvNGNJWTyx5W_ou414q_iPWX6yW/view?usp=drivesdk,eua-051925,PDF,10,M4,document,,"M4, Review-needed, Vaccine, COVID-19, Research",False,False,False,True
19736_S105_M4_pardi-n-2017.pdf,19736 S105 M4 pardi-n-2017,undated,https://drive.google.com/file/d/1hnFJL_df7BcE1S5wWUPo6PjTngcu34MI/view?usp=drivesdk,eua-051925,PDF,12,M4,document,,"Data, M4, Review-needed, Vaccine",False,False,False,True
19736_S105_M4_sahin-u-2014.pdf,Nucleic Acid-Encoded Drugs,2014,https://drive.google.com/file/d/1T9EdI6L4VFurg-L1T1R4QlFzHj0SVuLG/view?usp=drivesdk,eua-051925,PDF,22,M4,research,Wolff et al.,"Nucleic Acid, M4, Infectious Diseases, Gene Therapy, Recombinant Engineering, Technological Advances, mRNA, Drug Development, Cytoplasm, Vaccination, Nuclear Envelope, Cancer, Protein Expression, Preclinical Research",False,False,False,True
19736_S105_M4_pardi-n-2018.pdf,Pardi N-2018 Submission,2018,https://drive.google.com/file/d/1JoGSX5Urth24JLZclB8omJLROXS5cFGW/view?usp=drivesdk,eua-051925,PDF,12,M4,submission,,"CBER, FDA, Pharmaceutical, Clinical, Pardi, M4, Application, Safety, Biologics, Regulatory, Data, N-2018, Review, Efficacy",False,False,False,True
