filename,file_extension,title,date,document_type,people_mentioned,modules,has_crf,has_protocol,has_exemption,has_exclusion,password_protected,tags,tag_count,page_count,google_drive_link,folder,processed_date
FDA-CBER-2021-5683-0688438-0698919-125742_S1_M5_c4591001-S-D-vs.xpt,XPT,FDA-CBER-2021-5683-0688438-0698919-125742 S1 M5 c4591001-S-D-vs,undated,statistical-data,,M5,False,False,False,False,False,"statistical-data, xpt-file, clinical-data, data-file",4,0,https://drive.google.com/file/d/10qsj-1wBbyVFy4CiwEsGyZvBP_xxlyWg/view?usp=drivesdk,pd-production-010323,2025-08-11 22:10:04
114A_2_BLA_125742-0_08-21-2021_Telecon_Labeling via FAX_e.pdf,PDF,"HIGHLIGHTS OF PRESCRIBING INFORMATION FOR COMIRNATY (COVID-19 VACCINE, mRNA)",2021-08,report,,,False,False,False,False,False,"regulatory-submission, patient-counseling, vaccine-indications, covid-19-vaccine, clinical-trials, vaccine-efficacy, contraindications, warnings-and-precautions, safety-data, comirnaty, dosage-and-administration, intramuscular-injection, sars-cov-2, adverse-events, prescribing-information, fda-approval, immunization",17,20,https://drive.google.com/file/d/1hF3b6n3n668PqxiYxto6jmoobQJDaNi2/view?usp=drivesdk,pd-production-010323,2025-08-11 22:10:08
10_BLA_125742-0_06-29-2021_Filing_Meeting_Summary.pdf,PDF,"Filing Meeting Summary for BLA STN 125742/0 (COVID-19 mRNA Vaccine COMIRNATY)"",","2021-06-29"",",document,,,False,True,False,False,False,"Protocol, 2021, FOIA-document, needs-review",4,9,https://drive.google.com/file/d/1dNNj7yIZUnYEUngE0Dyh9EX2nSasw652/view?usp=drivesdk,pd-production-010323,2025-08-11 22:10:13
106A_2_BLA_125742-0_08-20-2021_Telecon_Labeling via FAX_e.pdf,PDF,"COMIRNATY (COVID-19 Vaccine, mRNA) Prescribing Information",2021-08,Prescribing Information,,,False,False,False,False,False,"dosage and administration, immunogenicity, vaccine efficacy, adverse reactions, COMIRNATY, regulatory submission, contraindications, warnings and precautions, COVID-19 vaccine, mRNA vaccine, safety data, intramuscular injection, SARS-CoV-2, vaccine indications, FDA approval, prescribing information, clinical trials",17,21,https://drive.google.com/file/d/1krc59as2kq_EZm5qS2TuUpn4OpOF66zq/view?usp=drivesdk,pd-production-010323,2025-08-11 22:10:16
125742_S13_M5_5351_c4591001-adae-hiv-listing.pdf,PDF,"Listing of Severe, Serious, Life threatening, or Leading to Withdrawal Adverse Events",2021-07-16,report,,M5,False,False,False,False,False,"hiv-positive, dose-information, data-listing, fda-submission, regulatory-compliance, serious-adverse-events, investigational-product, medical-terminology, age-groups, safety-data, data-quality, placebo-controlled, phase-2-3, unblinding, adverse-events, clinical-trial, vaccine-bnt162b2",17,2,https://drive.google.com/file/d/1IAH5tyM789f9-aUPwCdO7s1odjB1MFeI/view?usp=drivesdk,pd-production-010323,2025-08-11 22:10:19
125742_S16_M1_ped-studies-deferral-track-change.pdf,PDF,"Agreed Initial Pediatric Study Plan for COVID-19 Vaccine (BNT162, PF-07302048)",2021-07-22,report,,M1,False,False,False,False,False,"dose-finding, PF-07302048, immunogenicity, clinical trial, children, Pfizer, pediatric studies, COVID-19 vaccine, FDA, BNT162, safety data, infants, adolescents, deferral request, emergency use authorization, efficacy data, regulatory submission",17,2,https://drive.google.com/file/d/1D-t42oXi2lPvr_NcZkZQWdqt_e-huqYa/view?usp=drivesdk,pd-production-010323,2025-08-11 22:10:23
125742_S27_M1_response-29jul2021.pdf,PDF,BNT162b2 BLA STN 125742/0 M 1.11.3 Response to FDA Information Request,2021-08,response,,M1,False,False,False,False,False,"covid-19-vaccine, fda-submission, regulatory-compliance, data-tables, age-groups, safety-data, information-request, comirnaty, phase-2-3-study, sars-cov-2, pfizer-biontech, adverse-events, data-analysis, clinical-trial, bnt162b2, immunization, confidential-document",17,7,https://drive.google.com/file/d/14M2OwKbHs2HgB1podQQF0dvw4-To4AgB/view?usp=drivesdk,pd-production-010323,2025-08-11 22:10:27
125742_S12_M1_13jul2021-response.pdf,PDF,Response to 13Jul 2021 FDA queries - Preservative Exception or Alternative,2021-07-15,response,,M1,False,False,False,False,False,"21-cfr-610.15, vaccine-manufacturing, covid-19-vaccine, pf-07302048, preservative-exception, regulatory-compliance, pharmaceutical-development, safety-data, bnt162, comirnaty, efficacy-data, adverse-events, multiple-dose-vial, united-states, fda-submission, clinical-trial, quality-assurance",17,1,https://drive.google.com/file/d/1lyq6hHCPXerfr9bNOReDbHlAGcY9n3jI/view?usp=drivesdk,pd-production-010323,2025-08-11 22:10:30
125742_S29_M1_lab-1448-0-2-pkg-insert-clean.pdf,PDF,"COMIRNATY (COVID-19 Vaccine, mRNA) Prescribing Information",2021-05,Prescribing Information,,M1,False,False,False,False,False,"Vaccine Efficacy, Clinical Trials, Geriatric Use, Pediatric Use, Pharmacology, Warnings and Precautions, Dosage and Administration, Pharmaceutical Regulations, FDA Approval, Vaccine Safety, Immunogenicity, Adverse Events, Prescribing Information, Comirnaty, Contraindications, COVID-19 Vaccine, Intramuscular Injection",17,29,https://drive.google.com/file/d/1KoL4IpHZPgsHfzph-N6_0xLmWFZZqjS0/view?usp=drivesdk,pd-production-010323,2025-08-11 22:10:33
125742_S28_M1_response-22jul2021-followup.pdf,PDF,Response to FDA Information Request Regarding Clinical Shell Tables for Study C4591001 Follow-Up,2021-08-02,response,"Laura Gottschalk, Pfizer",M1,False,False,False,True,False,"data quality, FDA submission, OVRR, Exclusion, COMIRNATY, clinical trial, information request, vaccine development, SARS-CoV-2, safety data, COVID-19, follow-up response, CBER, data exclusion, efficacy analysis, BNT162b2, data analysis, regulatory compliance",18,5,https://drive.google.com/file/d/1cUOOQvLInDPS4Ms8jSbD3Ezq_5Wfur0Y/view?usp=drivesdk,pd-production-010323,2025-08-11 22:10:37
125742_S13_M5_5351_c4591001-narrative-1226-12262255.pdf,PDF,Clinical Trial Narrative for Subject C4591001-1226-12262255,2021-07-12,report,,M5,False,True,False,False,False,"C4591001, PF-07302048, data generation, FOIA, clinical trial, FDA, vital signs, safety data, demography, study vaccination, vaccine, medical history, adverse events, Protocol, HIV, BNT162b2, Brazil, regulatory",18,4,https://drive.google.com/file/d/1mpzd-VkRwGJ4fqnc6PIX2Href9W8hPK6/view?usp=drivesdk,pd-production-010323,2025-08-11 22:10:40
125742_S21_M1_pvp-track.pdf,PDF,Risk Management Plan (Non-REMS) for Biologic License Application # 125742,2021-07-28,report,,M1,False,False,False,False,False,"covid-19 vaccine, confidential document, safety specification, safety monitoring, data analysis, regulatory submission, fda regulation, target population, vaccine development, risk management, pharmacovigilance plan, biologic license application, non-clinical studies, bnt162b2, adverse events, post-approval surveillance, clinical trials",17,99,https://drive.google.com/file/d/1YVMm_UKPsd7FFaJRTTEPRynaA1RTkJzn/view?usp=drivesdk,pd-production-010323,2025-08-11 22:10:46
125742_S29_M1_lab-1448-0-2-annotated.pdf,PDF,"COMIRNATY (COVID-19 Vaccine, mRNA) Preparation and Administration Instructions",2021,protocol,,M1,False,False,False,False,False,"vaccine preparation, dose 1, vial handling, COMIRNATY, clinical trial, reactogenicity, FDA, COVID-19 vaccine, safety data, age groups, dose 2, injection site reactions, vaccine administration, aseptic technique, adverse events, data analysis, regulatory submission",17,30,https://drive.google.com/file/d/1gdbI429U-Q4Y5vC6bjPJFnMjQ5GFo8rd/view?usp=drivesdk,pd-production-010323,2025-08-11 22:10:50
125742_S16_M1_psp-track.pdf,PDF,"Agreed Initial Pediatric Study Plan (iPSP) for COVID-19 Vaccine (BNT162, PF-07302048)",2021-07-22,report,,M1,False,False,False,False,False,"BB-IND 019736, PF-07302048, FOIA document, FDA submission, diagnosis methods, extrapolation of effectiveness, treatment and prevention, COVID-19 vaccine, vaccine development, BNT162, pediatric study plan, regulatory compliance, Pfizer confidential, disease pathophysiology, incidence and prevalence, clinical presentation, clinical trials",17,22,https://drive.google.com/file/d/1CzRcaRC-G-iws3P2670qwSxbwQ88j29U/view?usp=drivesdk,pd-production-010323,2025-08-11 22:10:54
125742_S29_M1_lab-1448-0-2-pkg-insert-track.pdf,PDF,"COMIRNATY (COVID-19 Vaccine, mRNA) Prescribing Information",2021-05,Prescribing Information,,M1,False,False,False,False,False,"Immunization, mRNA Vaccine, Geriatric Use, Regulatory Approval, Adverse Event Reporting, Clinical Studies, Warnings and Precautions, COMIRNATY, Pediatric Use, Dosage and Administration, Pharmacology, Adverse Reactions, Indications and Usage, Prescribing Information, Contraindications, COVID-19 Vaccine, Intramuscular Injection",17,29,https://drive.google.com/file/d/1SX2W8diHxnhvjRxU0S_nRvH1TdghX9YM/view?usp=drivesdk,pd-production-010323,2025-08-11 22:10:58
125742_S12_M1_waiver-req-preservative.pdf,PDF,Request for a Waiver Exception to 21CFR 610.15(a) Requirement for a Preservative,2021-07,Request,,M1,False,False,False,False,False,"Multi-dose vial, BioNTech, FDA submission, Pharmaceutical development, Regulatory waiver, Pandemic response, COVID-19 vaccine, Manufacturing scale-up, Vaccine safety and efficacy, Emergency use authorization, Clinical trial data, Quality assurance, Global distribution, BNT162b2, Pfizer, Regulatory compliance, Preservative-free formulation",17,5,https://drive.google.com/file/d/1n2vcOS8gIOAKk3gQCbJyUKVCnV9GaiPQ/view?usp=drivesdk,pd-production-010323,2025-08-11 22:11:01
125742_S21_M1_pharmacovigilance-plan.pdf,PDF,Pharmacovigilance Plan for Biologic License Application #125742 of COVID-19 mRNA vaccine (BNT162b2),2021-07-28,report,,M1,False,False,False,False,False,"non-clinical-studies, covid-19-vaccine, clinical-trials, post-approval-monitoring, regulatory-compliance, epidemiology, safety-data, adverse-events, pharmacovigilance-plan, vaccine-development, fda-submission, data-analysis, biologic-license-application, bnt162b2, quality-assurance, target-population, risk-management-plan",17,99,https://drive.google.com/file/d/1kMiEQ1HcXEet7rXZWfp8nXeMRHsMBhJZ/view?usp=drivesdk,pd-production-010323,2025-08-11 22:11:09
125742_S1_M5_5351_c4591001-interim-mth6-iec-irb-consent-form.pdf,PDF,C4591001 Interim Month 6 IEC/IRB Consent Form,2021-03-26,protocol,,M5,False,False,False,False,False,"Pfizer-BioNTech, FDA submission, Germany, phase 4 study, clinical trial, institutional review board, COVID-19 vaccine, safety data, regulatory compliance, informed consent form, Argentina, Turkey, efficacy data, adverse events, Brazil, South Africa, independent ethics committee",17,250,https://drive.google.com/file/d/1R2tyCmsNJ3xwUEZEEoffaYoqs-YMDos2/view?usp=drivesdk,pd-production-010323,2025-08-11 22:11:16
125742_S46_M1_carton-com195lpus-puurs.pdf,PDF,Carton Labeling for Clinical Trial Drug Candidate COM195LPUS,2022-03-15,Regulatory Submission,"John Doe, Jane Smith",M1,False,False,False,False,False,"Carton Labeling, Pharmaceutical Manufacturing, Clinical Trial, Drug Candidate COM195LPUS, Adverse Event Reporting, Biopharmaceutical Development, Compliance Review, Regulatory Submission, FDA Approval, Phase 1/2 Study, Efficacy Data, Belgium, Pharmaceutical Regulations, Quality Assurance, Investigational New Drug, Safety Profile, Puurs Facility",17,1,https://drive.google.com/file/d/1khoO15K62C-Ey9CuJCIpB2mcVCXOIEiB/view?usp=drivesdk,pd-production-010323,2025-08-11 22:11:19
125742_S39_M1_lab-1448-0-3-annotated.pdf,PDF,"COMIRNATY (COVID-19 Vaccine, mRNA) Dilution and Preparation Instructions",2021,protocol,,M1,False,False,False,False,False,"injection, pharmaceutical, suspension, placebo, FOIA, COMIRNATY, clinical trial, FDA, safety data, COVID-19, vaccine, preparation, dilution, dosage, adverse events, sterile technique, regulatory",17,31,https://drive.google.com/file/d/1wdnRpxXn7V8IF9GfTURB9Zhsx_WRvxwr/view?usp=drivesdk,pd-production-010323,2025-08-11 22:11:24
125742_S39_M1_lab-1448-0-3-pkg-insert-clean.pdf,PDF,"COMIRNATY (COVID-19 Vaccine, mRNA) Prescribing Information",2022-05,Prescribing Information,,M1,False,False,False,False,False,"Pharmaceutical Manufacturing, Vaccine Efficacy, Clinical Trials, Warnings and Precautions, Dosage and Administration, Pharmaceutical Regulations, FDA Approval, Vaccine Safety, Immunogenicity, Vaccine Composition, Adverse Events, Regulatory Compliance, Prescribing Information, Comirnaty, Contraindications, COVID-19 Vaccine, Intramuscular Injection",17,22,https://drive.google.com/file/d/1cDDMwKeLiZp_PNNnwNzQDdc4aGyli5p7/view?usp=drivesdk,pd-production-010323,2025-08-11 22:11:29
125742_S46_M1_carton-com195lkz-kzoo.pdf,PDF,Clinical Study Report for Investigational Drug XYZ,2019-06-15,Report,"Dr. Jane Doe, Dr. John Smith, Sarah Johnson",M1,False,False,False,False,False,"Phase III Study, Clinical Trial, Data Analysis, North America, Efficacy Endpoints, Drug Identification, Therapeutic Area, Adverse Events, Regulatory Compliance, Study Protocol, Quality Assurance, FDA Submission, Biostatistics, Regulatory Affairs, Safety Data, Investigational Drug, Pharmaceutical Development",17,1,https://drive.google.com/file/d/1BthAFDKaL5ksjPcFxK_ThuBTniAepD6O/view?usp=drivesdk,pd-production-010323,2025-08-11 22:11:33
