Source_File,Study_OID,Study_Name,Study_Description,Protocol_Name,Define_MetadataVersion_OID,Define_MetadataVersion_Name,Define_Version,Standard_Name,Standard_Version,Dataset_OID,Dataset_Name,Dataset_SAS_Name,Dataset_Description,Dataset_Purpose,Dataset_Structure,Dataset_Class,Dataset_Source,Variable_OID,Variable_Name,Variable_Label,Variable_Data_Type,Variable_Length,Variable_SAS_Field_Name,Variable_Origin,Variable_Roles,Variable_Mandatory,Variable_Key_Sequence,Variable_Method_OID,Variable_WhereClause_OID,CodeList_OID,CodeList_Name,CodeList_Data_Type,CodeList_Coded_Values
FDA-CBER-2021-5683-1496005-1496178_27034_S1_M5_c4591001-safety-fa-eff-A-define.xml,"C4591001-Pfizer,-Inc.ADaM-IG.1.1","C4591001 Pfizer, Inc","A Phase 1/2/3 Study to Evaluate the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Adults",C4591001 Clinical Protocol,"MDV.C4591001-Pfizer,-Inc.ADaM-IG.1.1","Study C4591001 Pfizer, Inc Data Definitions",2.0.0,ADaM-IG,1.1,IG.ADSL,ADSL,ADSL,Subject-Level Analysis Dataset,,,,,IT.ADSL.STUDYID,STUDYID,Study Identifier,text,8,STUDYID,,,True,1,,,,,,
FDA-CBER-2021-5683-1496005-1496178_27034_S1_M5_c4591001-safety-fa-eff-A-define.xml,"C4591001-Pfizer,-Inc.ADaM-IG.1.1","C4591001 Pfizer, Inc","A Phase 1/2/3 Study to Evaluate the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Adults",C4591001 Clinical Protocol,"MDV.C4591001-Pfizer,-Inc.ADaM-IG.1.1","Study C4591001 Pfizer, Inc Data Definitions",2.0.0,ADaM-IG,1.1,IG.ADSL,ADSL,ADSL,Subject-Level Analysis Dataset,,,,,IT.ADSL.USUBJID,USUBJID,Unique Subject Identifier,text,22,USUBJID,,,True,2,,,,,,
FDA-CBER-2021-5683-1496005-1496178_27034_S1_M5_c4591001-safety-fa-eff-A-define.xml,"C4591001-Pfizer,-Inc.ADaM-IG.1.1","C4591001 Pfizer, Inc","A Phase 1/2/3 Study to Evaluate the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Adults",C4591001 Clinical Protocol,"MDV.C4591001-Pfizer,-Inc.ADaM-IG.1.1","Study C4591001 Pfizer, Inc Data Definitions",2.0.0,ADaM-IG,1.1,IG.ADSL,ADSL,ADSL,Subject-Level Analysis Dataset,,,,,IT.ADSL.SUBJID,SUBJID,Subject Identifier for the Study,text,8,SUBJID,,,True,,,,,,,
FDA-CBER-2021-5683-1496005-1496178_27034_S1_M5_c4591001-safety-fa-eff-A-define.xml,"C4591001-Pfizer,-Inc.ADaM-IG.1.1","C4591001 Pfizer, Inc","A Phase 1/2/3 Study to Evaluate the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Adults",C4591001 Clinical Protocol,"MDV.C4591001-Pfizer,-Inc.ADaM-IG.1.1","Study C4591001 Pfizer, Inc Data Definitions",2.0.0,ADaM-IG,1.1,IG.ADSL,ADSL,ADSL,Subject-Level Analysis Dataset,,,,,IT.ADSL.SITEID,SITEID,Study Site Identifier,text,4,SITEID,,,True,,,,,,,
FDA-CBER-2021-5683-1496005-1496178_27034_S1_M5_c4591001-safety-fa-eff-A-define.xml,"C4591001-Pfizer,-Inc.ADaM-IG.1.1","C4591001 Pfizer, Inc","A Phase 1/2/3 Study to Evaluate the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Adults",C4591001 Clinical Protocol,"MDV.C4591001-Pfizer,-Inc.ADaM-IG.1.1","Study C4591001 Pfizer, Inc Data Definitions",2.0.0,ADaM-IG,1.1,IG.ADSL,ADSL,ADSL,Subject-Level Analysis Dataset,,,,,IT.ADSL.AGE,AGE,Age,integer,8,AGE,,,True,,,,,,,
FDA-CBER-2021-5683-1496005-1496178_27034_S1_M5_c4591001-safety-fa-eff-A-define.xml,"C4591001-Pfizer,-Inc.ADaM-IG.1.1","C4591001 Pfizer, Inc","A Phase 1/2/3 Study to Evaluate the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Adults",C4591001 Clinical Protocol,"MDV.C4591001-Pfizer,-Inc.ADaM-IG.1.1","Study C4591001 Pfizer, Inc Data Definitions",2.0.0,ADaM-IG,1.1,IG.ADSL,ADSL,ADSL,Subject-Level Analysis Dataset,,,,,IT.ADSL.AGEU,AGEU,Age Units,text,5,AGEU,,,True,,,,CL.AGEU,AGEU,text,YEARS: Year
FDA-CBER-2021-5683-1496005-1496178_27034_S1_M5_c4591001-safety-fa-eff-A-define.xml,"C4591001-Pfizer,-Inc.ADaM-IG.1.1","C4591001 Pfizer, Inc","A Phase 1/2/3 Study to Evaluate the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Adults",C4591001 Clinical Protocol,"MDV.C4591001-Pfizer,-Inc.ADaM-IG.1.1","Study C4591001 Pfizer, Inc Data Definitions",2.0.0,ADaM-IG,1.1,IG.ADSL,ADSL,ADSL,Subject-Level Analysis Dataset,,,,,IT.ADSL.SEX,SEX,Sex,text,1,SEX,,,True,,,,CL.SEX,SEX,text,"F: Female;
M: Male"
FDA-CBER-2021-5683-1496005-1496178_27034_S1_M5_c4591001-safety-fa-eff-A-define.xml,"C4591001-Pfizer,-Inc.ADaM-IG.1.1","C4591001 Pfizer, Inc","A Phase 1/2/3 Study to Evaluate the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Adults",C4591001 Clinical Protocol,"MDV.C4591001-Pfizer,-Inc.ADaM-IG.1.1","Study C4591001 Pfizer, Inc Data Definitions",2.0.0,ADaM-IG,1.1,IG.ADSL,ADSL,ADSL,Subject-Level Analysis Dataset,,,,,IT.ADSL.SEXN,SEXN,Sex (N),integer,8,SEXN,,,True,,,,,,,
FDA-CBER-2021-5683-1496005-1496178_27034_S1_M5_c4591001-safety-fa-eff-A-define.xml,"C4591001-Pfizer,-Inc.ADaM-IG.1.1","C4591001 Pfizer, Inc","A Phase 1/2/3 Study to Evaluate the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Adults",C4591001 Clinical Protocol,"MDV.C4591001-Pfizer,-Inc.ADaM-IG.1.1","Study C4591001 Pfizer, Inc Data Definitions",2.0.0,ADaM-IG,1.1,IG.ADSL,ADSL,ADSL,Subject-Level Analysis Dataset,,,,,IT.ADSL.RACE,RACE,Race,text,41,RACE,,,True,,,,CL.RACE,RACE,text,"ASIAN: Asian;
AMERICAN INDIAN OR ALASKA NATIVE: American indian or alaska native;
BLACK OR AFRICAN AMERICAN: Black or african american;
MULTIPLE: Multiple;
NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER: Native hawaiian or other pacific islander;
NOT REPORTED: Not reported;
WHITE: White"
FDA-CBER-2021-5683-1496005-1496178_27034_S1_M5_c4591001-safety-fa-eff-A-define.xml,"C4591001-Pfizer,-Inc.ADaM-IG.1.1","C4591001 Pfizer, Inc","A Phase 1/2/3 Study to Evaluate the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Adults",C4591001 Clinical Protocol,"MDV.C4591001-Pfizer,-Inc.ADaM-IG.1.1","Study C4591001 Pfizer, Inc Data Definitions",2.0.0,ADaM-IG,1.1,IG.ADSL,ADSL,ADSL,Subject-Level Analysis Dataset,,,,,IT.ADSL.RACEN,RACEN,Race (N),integer,8,RACEN,,,True,,,,,,,
FDA-CBER-2021-5683-1496005-1496178_27034_S1_M5_c4591001-safety-fa-eff-A-define.xml,"C4591001-Pfizer,-Inc.ADaM-IG.1.1","C4591001 Pfizer, Inc","A Phase 1/2/3 Study to Evaluate the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Adults",C4591001 Clinical Protocol,"MDV.C4591001-Pfizer,-Inc.ADaM-IG.1.1","Study C4591001 Pfizer, Inc Data Definitions",2.0.0,ADaM-IG,1.1,IG.ADSL,ADSL,ADSL,Subject-Level Analysis Dataset,,,,,IT.ADSL.ETHNIC,ETHNIC,Ethnicity,text,22,ETHNIC,,,True,,,,CL.ETHNIC,ETHNIC,text,"HISPANIC OR LATINO: Hispanic or Latino;
NOT HISPANIC OR LATINO: Not Hispanic or Latino;
NOT REPORTED: Not Reported"
FDA-CBER-2021-5683-1496005-1496178_27034_S1_M5_c4591001-safety-fa-eff-A-define.xml,"C4591001-Pfizer,-Inc.ADaM-IG.1.1","C4591001 Pfizer, Inc","A Phase 1/2/3 Study to Evaluate the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Adults",C4591001 Clinical Protocol,"MDV.C4591001-Pfizer,-Inc.ADaM-IG.1.1","Study C4591001 Pfizer, Inc Data Definitions",2.0.0,ADaM-IG,1.1,IG.ADSL,ADSL,ADSL,Subject-Level Analysis Dataset,,,,,IT.ADSL.ETHNICN,ETHNICN,Ethnicity (N),integer,8,ETHNICN,,,True,,,,,,,
FDA-CBER-2021-5683-1496005-1496178_27034_S1_M5_c4591001-safety-fa-eff-A-define.xml,"C4591001-Pfizer,-Inc.ADaM-IG.1.1","C4591001 Pfizer, Inc","A Phase 1/2/3 Study to Evaluate the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Adults",C4591001 Clinical Protocol,"MDV.C4591001-Pfizer,-Inc.ADaM-IG.1.1","Study C4591001 Pfizer, Inc Data Definitions",2.0.0,ADaM-IG,1.1,IG.ADSL,ADSL,ADSL,Subject-Level Analysis Dataset,,,,,IT.ADSL.COUNTRY,COUNTRY,Country,text,3,COUNTRY,,,True,,,,,,,
FDA-CBER-2021-5683-1496005-1496178_27034_S1_M5_c4591001-safety-fa-eff-A-define.xml,"C4591001-Pfizer,-Inc.ADaM-IG.1.1","C4591001 Pfizer, Inc","A Phase 1/2/3 Study to Evaluate the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Adults",C4591001 Clinical Protocol,"MDV.C4591001-Pfizer,-Inc.ADaM-IG.1.1","Study C4591001 Pfizer, Inc Data Definitions",2.0.0,ADaM-IG,1.1,IG.ADSL,ADSL,ADSL,Subject-Level Analysis Dataset,,,,,IT.ADSL.SAFFL,SAFFL,Safety Population Flag,text,1,SAFFL,,,True,,MT.ADSL.SAFFL,,CL.NY,NY,text,"N: No;
Y: Yes"
FDA-CBER-2021-5683-1496005-1496178_27034_S1_M5_c4591001-safety-fa-eff-A-define.xml,"C4591001-Pfizer,-Inc.ADaM-IG.1.1","C4591001 Pfizer, Inc","A Phase 1/2/3 Study to Evaluate the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Adults",C4591001 Clinical Protocol,"MDV.C4591001-Pfizer,-Inc.ADaM-IG.1.1","Study C4591001 Pfizer, Inc Data Definitions",2.0.0,ADaM-IG,1.1,IG.ADSL,ADSL,ADSL,Subject-Level Analysis Dataset,,,,,IT.ADSL.RANDFL,RANDFL,Randomized Population Flag,text,1,RANDFL,,,True,,MT.ADSL.RANDFL,,CL.NY,NY,text,"N: No;
Y: Yes"
FDA-CBER-2021-5683-1496005-1496178_27034_S1_M5_c4591001-safety-fa-eff-A-define.xml,"C4591001-Pfizer,-Inc.ADaM-IG.1.1","C4591001 Pfizer, Inc","A Phase 1/2/3 Study to Evaluate the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Adults",C4591001 Clinical Protocol,"MDV.C4591001-Pfizer,-Inc.ADaM-IG.1.1","Study C4591001 Pfizer, Inc Data Definitions",2.0.0,ADaM-IG,1.1,IG.ADSL,ADSL,ADSL,Subject-Level Analysis Dataset,,,,,IT.ADSL.ENRLFL,ENRLFL,Enrolled Population Flag,text,1,ENRLFL,,,True,,MT.ADSL.ENRLFL,,CL.Y,Y,text,Y: Yes
FDA-CBER-2021-5683-1496005-1496178_27034_S1_M5_c4591001-safety-fa-eff-A-define.xml,"C4591001-Pfizer,-Inc.ADaM-IG.1.1","C4591001 Pfizer, Inc","A Phase 1/2/3 Study to Evaluate the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Adults",C4591001 Clinical Protocol,"MDV.C4591001-Pfizer,-Inc.ADaM-IG.1.1","Study C4591001 Pfizer, Inc Data Definitions",2.0.0,ADaM-IG,1.1,IG.ADSL,ADSL,ADSL,Subject-Level Analysis Dataset,,,,,IT.ADSL.DTHFL,DTHFL,Subject Death Flag,text,1,DTHFL,,,False,,,,CL.Y,Y,text,Y: Yes
FDA-CBER-2021-5683-1496005-1496178_27034_S1_M5_c4591001-safety-fa-eff-A-define.xml,"C4591001-Pfizer,-Inc.ADaM-IG.1.1","C4591001 Pfizer, Inc","A Phase 1/2/3 Study to Evaluate the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Adults",C4591001 Clinical Protocol,"MDV.C4591001-Pfizer,-Inc.ADaM-IG.1.1","Study C4591001 Pfizer, Inc Data Definitions",2.0.0,ADaM-IG,1.1,IG.ADSL,ADSL,ADSL,Subject-Level Analysis Dataset,,,,,IT.ADSL.ARM,ARM,Description of Planned Arm,text,27,ARM,,,True,,,,,,,
FDA-CBER-2021-5683-1496005-1496178_27034_S1_M5_c4591001-safety-fa-eff-A-define.xml,"C4591001-Pfizer,-Inc.ADaM-IG.1.1","C4591001 Pfizer, Inc","A Phase 1/2/3 Study to Evaluate the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Adults",C4591001 Clinical Protocol,"MDV.C4591001-Pfizer,-Inc.ADaM-IG.1.1","Study C4591001 Pfizer, Inc Data Definitions",2.0.0,ADaM-IG,1.1,IG.ADSL,ADSL,ADSL,Subject-Level Analysis Dataset,,,,,IT.ADSL.ARMCD,ARMCD,Planned Arm Code,text,9,ARMCD,,,True,,,,,,,
FDA-CBER-2021-5683-1496005-1496178_27034_S1_M5_c4591001-safety-fa-eff-A-define.xml,"C4591001-Pfizer,-Inc.ADaM-IG.1.1","C4591001 Pfizer, Inc","A Phase 1/2/3 Study to Evaluate the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Adults",C4591001 Clinical Protocol,"MDV.C4591001-Pfizer,-Inc.ADaM-IG.1.1","Study C4591001 Pfizer, Inc Data Definitions",2.0.0,ADaM-IG,1.1,IG.ADSL,ADSL,ADSL,Subject-Level Analysis Dataset,,,,,IT.ADSL.ACTARM,ACTARM,Description of Actual Arm,text,27,ACTARM,,,False,,MT.ADSL.ACTARM,,,,,
FDA-CBER-2021-5683-1496005-1496178_27034_S1_M5_c4591001-safety-fa-eff-A-define.xml,"C4591001-Pfizer,-Inc.ADaM-IG.1.1","C4591001 Pfizer, Inc","A Phase 1/2/3 Study to Evaluate the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Adults",C4591001 Clinical Protocol,"MDV.C4591001-Pfizer,-Inc.ADaM-IG.1.1","Study C4591001 Pfizer, Inc Data Definitions",2.0.0,ADaM-IG,1.1,IG.ADSL,ADSL,ADSL,Subject-Level Analysis Dataset,,,,,IT.ADSL.ACTARMCD,ACTARMCD,Actual Arm Code,text,9,ACTARMCD,,,False,,MT.ADSL.ACTARMCD,,,,,
